
1	800000000			26.090194 	26.074254 	26.098351 	26.056829 	26.062230 
1	1000000000			32.501904 	32.668318 	33.123932 	33.028315 	32.376457 
1	1100000000			35.646950 	35.652347 	35.647330 	35.651577 	35.648971 
1	1150000000			37.277707 	37.275311 	37.290736 	37.266792 	37.289231 
2	800000000			12.999409 	13.002719 	12.991713 	12.975644 	12.964957 
2	1000000000			18.714644 	16.777008 	16.523200 	16.270977 	16.800300 
2	1100000000			17.827606 	17.885132 	17.856630 	17.830430 	17.841984 
2	1150000000			18.670976 	19.883559 	18.659899 	18.645366 	18.668498 
3	800000000			14.432013 	14.459435 	14.477365 	14.590235 	14.515667 
3	1000000000			18.084326 	18.078648 	18.161791 	18.085767 	18.097004 
3	1100000000			19.867873 	19.885361 	19.898567 	19.900859 	19.884105 
3	1150000000			20.885506 	20.795540 	20.788836 	20.795401 	20.828212 
4	800000000			11.089445 	11.134591 	10.886759 	10.865964 	10.902845 
4	1000000000			13.579022 	13.608083 	13.587672 	13.581960 	13.600900 
4	1100000000			14.963164 	14.938565 	14.940773 	14.927401 	14.936433 
4	1150000000			15.641910 	15.599329 	15.621838 	15.612973 	15.642872 
8	800000000			11.052056 	11.162306 	11.117227 	11.013925 	11.081922 
8	1000000000			13.740375 	13.734990 	13.695308 	13.736760 	13.759641 
8	1100000000			15.127031 	15.111864 	15.816605 	15.243450 	15.077528 
8	1150000000			16.227480 	15.836015 	15.984232 	16.172043 	15.786118 
