
2	100000			27.206654 	27.152540 	27.157668 	27.108835 	27.144446 
2	106000			30.558240 	30.621277 	30.589740 	30.530968 	30.739283 
2	110000			32.926511 	32.902498 	32.874376 	32.884223 	32.927363 
2	116000			36.687710 	36.570034 	36.565601 	36.633478 	36.617734 
4	100000			27.511398 	27.550049 	25.299917 	27.327889 	27.700172 
4	106000			28.391837 	28.576675 	30.935949 	28.528025 	30.901015 
4	110000			33.269491 	33.267585 	33.235487 	33.288233 	30.557012 
4	116000			37.034999 	37.023711 	33.985740 	37.016087 	34.001906 
8	100000			29.107747 	29.914486 	29.108213 	29.379501 	29.134448 
8	106000			33.085178 	32.389643 	33.323107 	33.514730 	33.277725 
8	110000			35.356648 	35.110329 	35.692684 	35.695424 	36.300876 
8	116000			39.665167 	40.425658 	39.550854 	40.408947 	40.037791 
