
1	1000000000			33.798411 	32.201962 	32.878093 	33.672434 	33.891999 
1	1200000000			39.432984 	41.516039 	41.530672 	41.096432 	43.340732 
1	1400000000			49.769058 	48.449281 	48.567019 	51.701264 	45.838953 
1	1600000000			52.316814 	52.221205 	52.499624 	55.204565 	52.447743 
2	1000000000			24.405613 	16.870000 	16.157614 	16.568948 	16.074645 
2	1200000000			25.148577 	25.425672 	20.839790 	22.478354 	21.075776 
2	1400000000			27.466655 	25.330947 	25.604295 	28.875887 	34.568749 
2	1600000000			31.487006 	27.846520 	31.712667 	29.315279 	29.352715 
3	1000000000			18.994618 	17.417792 	17.333463 	17.194374 	17.124081 
3	1200000000			20.850760 	19.942737 	20.628689 	20.648435 	20.575913 
3	1400000000			24.006920 	24.036777 	24.079033 	24.020741 	28.913555 
3	1600000000			34.697613 	27.480558 	27.482568 	27.505725 	27.455949 
4	1000000000			13.354270 	13.835171 	13.338567 	13.355768 	13.683467 
4	1200000000			16.494213 	16.132528 	16.030589 	15.996946 	16.196908 
4	1400000000			19.103099 	18.702069 	18.723439 	18.571609 	18.710178 
4	1600000000			21.378593 	21.355592 	21.565191 	21.348485 	21.489824 
8	1000000000			13.611884 	13.514169 	13.909991 	13.697847 	13.530108 
8	1200000000			16.237588 	16.342548 	17.247553 	17.122735 	16.190427 
8	1400000000			18.929265 	18.805650 	18.980104 	18.754131 	18.817754 
8	1600000000			21.652211 	21.469796 	22.118045 	23.678290 	23.235817 
