4	150000000       	23.4913	28.9392	26.659	27.8694	26.7689	25.3127	23.743	23.8165	28.9179	27.3296
4	300000000			47.2439	47.1533	46.7072	46.9421	46.7791	46.6356	50.6506	46.6013	46.7431	51.6177
4	400000000			61.9463	62.8212	62.5202	62.7719	66.7384	62.7761	62.4481	62.1893	62.618	62.1259
4	500000000			78.5283	77.4071	78.6385	77.7288	77.3866	77.7613	78.4907	78.4451	78.0443	81.1801
8	150000000			24.263	25.2025	26.2952	24.1689	27.4133	28.2758	26.8419	26.2289	26.6134	28.4236
8	300000000			47.6951	46.9539	46.6714	49.9338	47.2686	47.4042	49.6145	47.8168	46.8178	46.4802
8	400000000			62.5372	62.5209	62.4883	66.8436	62.5442	62.3946	62.4158	61.5982	62.6657	62.339
8	500000000			78.0843	78.771	77.9154	80.884	77.1961	77.9351	79.1274	77.8591	78.2103	78.3849
16	150000000			71.1352	24.8192	24.9684	30.2093	64.102	24.3385	29.2653	27.9273	26.1025	23.6942
16	300000000			46.9126	46.6121	53.4183	59.9053	47.5876	52.0918	48.3607	46.6494	46.3787	46.7621
16	400000000			63.7215	62.2092	62.1271	67.7545	62.8553	61.8225	62.0713	61.8425	62.9656	64.2458
16	500000000			77.2285	77.1621	78.7104	77.5288	76.9355	78.6636	78.2397	78.96	78.2427	77.334
32	150000000			23.5126	23.2985	29.2165	27.2657	29.968	24.5216	23.4651	23.4983	23.6006	23.1288
32	300000000			50.7362	47.1805	46.8365	48.574	47.6101	46.7544	50.7484	46.9136	46.5194	47.7388
32	400000000			61.5421	61.6813	61.7698	62.2599	63.2337	62.0154	62.029	61.9972	61.9354	62.2276
32	500000000			77.9785	77.1086	77.9049	78.8964	77.5885	78.5339	77.5273	78.709	78.3829	79.2935
