
4	80000			8.547584 	8.045678 	8.218434 	7.965581 	7.776570 	7.833848 	7.963882 	7.774949 	7.934371 	7.855894 
4	100000			13.321015 	12.264728 	13.070352 	12.508195 	12.983880 	12.672086 	12.407758 	13.209356 	13.246036 	11.847597 
4	130000			22.667842 	24.712764 	24.277789 	23.783396 	23.681342 	25.945578 	23.631337 	23.435972 	24.980430 	23.349351 
4	160000			39.087839 	38.817618 	37.334423 	38.928275 	38.763275 	37.922065 	38.936656 	36.964581 	37.940781 	40.434511 
8	80000			3.470700 	3.379426 	3.422348 	3.333738 	3.416632 	3.517788 	3.412790 	3.385378 	3.389643 	3.438751 
8	100000			5.107958 	5.153808 	5.200622 	5.204183 	5.098285 	5.133111 	5.119294 	5.243385 	5.096761 	5.219946 
8	130000			8.568925 	8.358615 	8.437725 	8.470098 	8.632032 	8.482947 	8.694691 	8.348198 	8.466217 	8.461864 
8	160000			12.938467 	12.742375 	12.434389 	12.594542 	12.728056 	12.568177 	12.534516 	12.823619 	12.499943 	12.618910 
16	80000			1.691426 	1.699636 	1.688239 	1.697781 	1.648880 	1.710556 	1.700124 	1.700038 	1.689965 	1.725000 
16	100000			2.595167 	2.540107 	2.569007 	2.516412 	2.552687 	2.592325 	2.547900 	2.487873 	2.611482 	2.574714 
16	130000			4.149089 	4.096419 	4.128178 	4.306608 	4.223914 	4.237527 	4.232137 	4.266066 	4.265441 	4.162303 
16	160000			6.258245 	6.207301 	6.275636 	6.123318 	6.125262 	6.265023 	6.232485 	6.232444 	6.281617 	6.194598 
32	80000			0.832999 	0.827108 	0.816060 	0.827655 	0.831288 	0.816978 	0.834965 	0.832443 	0.792848 	0.831071 
32	100000			1.254608 	1.234739 	1.241338 	1.259819 	1.265886 	1.264814 	1.204457 	1.262069 	1.257388 	1.242897 
32	130000			2.065358 	2.083965 	2.053246 	2.071171 	2.084461 	2.079995 	2.056084 	2.091083 	2.040116 	2.078949 
32	160000			3.075397 	3.096101 	3.083938 	3.075744 	3.093991 	3.103201 	3.113708 	3.101583 	3.071421 	3.102769 	2.357889 	0.000534 	0.000038 	0.000041 	0.001853 	0.012099 	0.009174 	0.001341 	0.000041 	0.000406 	0.000354 	0.012583 	0.013310 	0.023562 	0.001694 	0.000058 	0.006872 	0.022424 	0.017798 	0.012323 	0.017441 	0.000623 	0.021604 	0.000463 	0.000822 	0.002402 	0.015373 	0.022662 	0.012515 	0.004449 	0.000641 	0.001143 	0.021746 	0.022716 	0.008145 	0.000349 	0.008360 	0.014425 	0.000186 	0.000481 	0.001127 	0.013019 	0.009695 	0.002778 	0.004719 	0.011262 	0.029677 	0.027130 	0.012978 	0.023804 	0.029298 	0.010841 	0.029476 	0.027192 	0.030013 	0.027997 	0.072533 	0.103614 	0.117640 	0.163892 	0.100096 	0.111479 	0.050374 	0.084819 	0.282153 	0.158372 	0.149912 	0.124133 	0.020734 	0.000465 	0.000856 	0.001345 	0.024636 	0.032923 	0.059011 	0.034120 	0.028551 	0.014383 	0.032858 	0.026334 	0.002640 	0.012418 	0.008123 	0.000490 
