
2	100000			32.544233 	32.510607 	32.484332 	32.418883 	32.475269 
2	106000			36.509614 	36.457356 	36.473651 	36.583251 	36.528109 
2	110000			39.379081 	39.421771 	39.400679 	39.327529 	39.377347 
2	116000			43.805938 	43.717431 	43.688333 	43.748224 	43.739961 
4	100000			29.037750 	28.984726 	28.963002 	29.060822 	29.124181 
4	106000			32.648475 	32.617332 	32.580247 	32.583328 	32.529614 
4	110000			35.067635 	35.601541 	35.173255 	35.068639 	35.246953 
4	116000			39.082072 	39.051084 	39.095769 	39.039569 	39.140899 
8	100000			33.845097 	34.258237 	33.774627 	33.810627 	34.270281 
8	106000			39.830024 	39.599341 	37.906196 	38.171866 	38.518250 
8	110000			40.944865 	41.425515 	41.247156 	40.937400 	43.421770 
8	116000			47.830254 	46.535801 	47.315087 	49.524706 	47.499394 
